n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.0871963058985843, 1.5173259974914173]",-0.2628957689736214,-3.9342832142993878,-10.395477696609998,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[1.5992576221668822, 0.4672964377114575]",-0.3664050528996418,0.0026726101785199408,-12.933445940121661,True
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[1.5525868320841387, 3.069545263242296]",-0.21452106837761434,-4.015735556196231,-10.377867904673565,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.0871912920818643, 1.5173295504315794]",-0.2628957689566705,-3.9342865753108613,-10.395479157486555,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.0871985252850975, 1.5172959071166714]",-0.2628957682104674,-3.9341936868717022,-10.395505567598232,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.0872606350393412, 1.5173353241986198]",-0.26289576724587516,-3.9344096165530553,-10.395404040762038,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[1.5526529800613864, 3.0695610950840595]",-0.21452106874919777,-4.015963181762758,-10.377785924854553,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.0871782415201046, 1.5173362241232486]",-0.26289576873010606,-3.9342873761835664,-10.395485534356647,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.087201008302508, 1.5173335157232384]",-0.2628957690331665,-3.9343135596719705,-10.395465475974254,False
10,0.4,1.5,2.0,STATIC,100.0,NA,NA,"[3.0871885908258583, 1.5173354012873557]",-0.262895768936508,-3.9343005393104997,-10.395476007886785,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[6.2476174088181855, 1.553106516383561]",-0.1505252291730096,-8.953215309506902,-7.199276074798254,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[1.6001877519415924, 0.46852979269240114]",-0.3651203257766457,0.00026436431388632275,-12.931282455366006,True
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[1.61991959513866, 0.4614076974988876]",-0.36589706551327433,0.0025566294737406903,-12.918672707362452,True
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[1.5526301570300538, 3.0695306971426994]",-0.21452106928122958,-4.01584592831324,-10.377839145827247,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[1.5526315660333685, 3.0695357472662446]",-0.21452106928176468,-4.015858094273395,-10.377832686700387,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[3.0872197532552916, 1.5173329050146973]",-0.2628957688717071,-3.9343401166256085,-10.395447341730012,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[3.0872036841893054, 1.5173105446041513]",-0.2628957687122085,-3.934246703361217,-10.395485771206543,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[6.247594528351155, 1.55316194212042]",-0.15052522860022777,-8.953526051234789,-7.199243529528425,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[3.087246330585818, 1.51725911572286]",-0.2628957648671787,-3.934152637563283,-10.395494553691321,False
10,0.4,1.5,2.0,STATIC,1000.0,NA,NA,"[3.087204271227465, 1.5173348915650497]",-0.2628957690331483,-3.934322758122084,-10.395460837207485,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[1.6072301041278525, 0.46663105936782706]",-0.3649424816101141,1.6513862957201475e-05,-12.92613883650432,True
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[3.087228350767242, 1.5173466422986743]",-0.26289576861170777,-3.9343955720459487,-10.395425006934083,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[3.086943525673725, 1.5174371184109565]",-0.2628957277744344,-3.9342426882956962,-10.395619355915318,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[3.0872076741649432, 1.5173283049319708]",-0.26289576899497974,-3.9343075872136657,-10.395464020903086,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[3.087233299536282, 1.5173098224472403]",-0.2628957681745811,-3.934289409572604,-10.395456878016478,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[3.0871913908846267, 1.5173360635097424]",-0.2628957689720955,-3.9343068323460457,-10.395472545605632,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[1.6069881733467635, 0.46669575564991284]",-0.3649506264123874,2.5440119459152477e-05,-12.926316071003324,True
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[3.0872047370631712, 1.517331200809822]",-0.2628957690239926,-3.9343120708338324,-10.395464062127006,False
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[0.4800796014287293, 1.5622069314219325]",-0.27368985805758383,1.6319013760424106e-05,-12.957713467149338,True
10,0.4,1.5,2.0,STATIC,10000.0,NA,NA,"[1.5929687619318142, 0.470802305152756]",-0.3649230839588543,2.66348461700483e-05,-12.93622893291543,True
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.087200283796772, 1.5173443361979648]",-0.26289576898657996,-3.9343458653277814,-10.395455380005263,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.0871533493881005, 1.5172423366614323]",-0.26289576325899905,-3.9339597614577686,-10.395604313950468,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.087234754590675, 1.5173337183206512]",-0.26289576847934454,-3.934365389511812,-10.395431527088673,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.0871814703341034, 1.5173116239867546]",-0.2628957685228423,-3.934216330294455,-10.395506905679142,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.087046076030821, 1.51726421055749]",-0.2628957537273129,-3.933864527503501,-10.395689713411688,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.0871668318556154, 1.5173485360933427]",-0.2628957682682763,-3.9343080729920406,-10.395484632051042,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.0871223057672523, 1.5174052715561857]",-0.26289576292885664,-3.9344156607099157,-10.395472422676562,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[1.5526165768980533, 3.0695074202839154]",-0.21452106891345182,-4.015768103644387,-10.37787600281803,False
10,0.4,1.5,2.25,STATIC,100.0,NA,NA,"[3.086835157461759, 1.5173023262016718]",-0.26289569783677175,-3.9336621650178305,-10.39586251633657,False
